fire_id,ignition_lat,ignition_lon,ignition_time,zone,spread_radius_km,duration_hours,acres_burned,temperature,humidity,wind_speed,rainfall,drought_index,impact_score
CAF-2018-0018,33.7045,-115.7571,2018-11-20 11:00:00,Southern California,0.1,9.0,5.7,21.8,39.4,15.6,0.59,3.28,0.0
CAF-2020-0019,38.7025,-116.3794,2020-08-13 14:00:00,Northern Sierra Nevada,5.09,39.8,16000.7,32.7,26.4,37.7,0.08,7.17,0.0
CAF-2018-0020,37.0038,-119.9567,2018-07-10 18:00:00,Northern Sierra Nevada,1.39,7.1,1164.4,24.9,11.3,49.4,0.31,6.33,1.86
CAF-2023-0021,33.5852,-119.9623,2023-10-25 19:00:00,Santa Barbara Ventura,1.22,26.6,261.1,39.2,10.8,27.6,0.35,10.0,2.35
CAF-2021-0022,33.8111,-119.3939,2021-04-17 16:00:00,Santa Barbara Ventura,0.1,23.6,6.2,18.5,44.8,14.9,1.53,2.68,0.0
CAF-2018-0023,33.0862,-116.0613,2018-03-16 08:00:00,San Diego County,2.44,41.3,928.5,15.2,49.2,29.9,16.19,4.38,0.0
CAF-2022-0024,34.4793,-116.1024,2022-04-09 18:00:00,Inland Empire,0.1,22.1,1.9,23.8,58.8,10.1,6.16,0.77,0.0
CAF-2020-0025,37.8198,-119.6445,2020-06-14 18:00:00,Northern Sierra Nevada,5.25,49.7,10816.8,39.7,31.9,48.6,0.06,9.78,0.0
CAF-2018-0026,35.1935,-117.9161,2018-10-15 06:00:00,Southern California,2.52,31.4,3633.8,37.2,6.2,18.1,0.15,8.67,2.93
CAF-2018-0027,37.4775,-121.8667,2018-10-25 18:00:00,Bay Area Hills,0.1,30.4,5.3,41.3,11.5,19.5,0.32,7.65,1.54
CAF-2019-0028,33.7695,-115.4873,2019-09-20 12:00:00,San Diego County,2.1,36.7,915.8,31.8,8.6,36.8,0.61,7.79,2.54
CAF-2020-0029,34.0154,-116.9206,2020-07-14 09:00:00,Inland Empire,5.43,62.5,5949.3,39.7,7.4,52.4,0.21,6.84,3.06
CAF-2018-0030,34.4559,-120.1082,2018-04-14 08:00:00,Santa Barbara Ventura,2.37,1.9,892.7,17.2,52.1,32.5,1.2,2.38,0.0
CAF-2018-0031,38.4166,-120.1244,2018-01-25 09:00:00,Shasta Cascade,0.44,6.6,105.8,10.6,51.8,31.8,11.7,3.36,0.0
CAF-2020-0032,32.7724,-116.4261,2020-06-02 15:00:00,Southern California,5.04,46.3,13683.6,39.6,5.0,57.3,0.02,4.79,3.18
CAF-2018-0033,39.2785,-122.5053,2018-08-21 07:00:00,Shasta Cascade,4.52,26.3,6679.7,43.7,26.4,19.2,0.66,9.74,0.0
CAF-2022-0034,37.4489,-121.6328,2022-09-25 13:00:00,Northern Sierra Nevada,3.73,55.3,5885.5,35.6,5.0,46.3,1.02,8.6,3.68
CAF-2022-0035,38.3612,-117.6797,2022-11-11 15:00:00,Central Valley Foothills,0.89,19.3,233.1,29.8,53.8,2.2,6.85,4.29,0.0
CAF-2019-0036,32.619,-117.2836,2019-08-17 17:00:00,San Diego County,3.1,27.4,2113.0,31.7,20.0,56.2,0.54,7.23,0.52
CAF-2023-0037,36.1253,-118.6132,2023-06-10 14:00:00,Central Valley Foothills,4.99,62.5,11377.2,36.4,20.0,39.9,0.19,7.14,0.38
CAF-2018-0038,33.1091,-118.3814,2018-05-05 17:00:00,Southern California,0.14,5.0,5.5,21.5,62.0,8.3,2.12,1.17,0.0
CAF-2022-0039,33.9721,-118.363,2022-05-26 10:00:00,Santa Barbara Ventura,2.74,7.6,2777.8,25.6,57.1,11.7,0.02,0.0,0.0
CAF-2019-0040,38.5248,-122.0484,2019-09-26 15:00:00,Bay Area Hills,1.58,12.8,487.5,38.6,11.9,38.0,0.01,7.68,1.85
CAF-2019-0041,33.3425,-118.3315,2019-07-26 07:00:00,Southern California,2.48,11.0,2356.4,35.6,15.3,26.7,0.17,8.17,1.14
CAF-2023-0042,38.4428,-122.8979,2023-07-18 11:00:00,Northern Sierra Nevada,0.68,12.0,201.7,39.1,26.5,27.1,0.44,6.26,0.0
CAF-2018-0043,35.5765,-117.8077,2018-07-17 18:00:00,Southern California,3.78,31.3,5482.0,45.3,7.4,43.7,0.32,9.18,3.28
CAF-2018-0044,32.8605,-117.287,2018-05-19 17:00:00,San Diego County,0.57,8.3,149.7,31.5,60.5,1.4,4.8,1.18,0.0
CAF-2018-0045,36.8405,-122.0118,2018-10-04 09:00:00,Bay Area Hills,3.62,57.5,4289.9,28.4,5.0,67.0,0.08,5.77,3.43
CAF-2023-0046,37.4696,-122.1091,2023-08-06 16:00:00,Northern Sierra Nevada,4.07,35.8,6175.3,41.4,12.6,50.2,0.25,7.91,2.1
CAF-2018-0047,39.373,-121.9117,2018-10-27 15:00:00,Shasta Cascade,2.08,11.8,1783.2,46.3,26.9,31.8,0.14,6.9,0.0
CAF-2021-0048,37.3997,-122.1342,2021-12-26 16:00:00,Bay Area Hills,0.53,29.7,122.9,15.7,41.3,5.4,1.34,4.58,0.0
CAF-2019-0049,38.1458,-121.1682,2019-08-04 07:00:00,Central Valley Foothills,1.01,16.9,616.6,38.9,9.2,40.4,0.35,6.87,2.23
CAF-2018-0050,35.0607,-118.7588,2018-08-07 13:00:00,Inland Empire,4.94,39.8,4837.7,37.4,7.4,48.7,0.21,5.85,2.77
CAF-2023-0051,37.0889,-118.6148,2023-07-04 06:00:00,Central Valley Foothills,0.92,25.7,354.7,41.7,16.3,44.4,1.05,8.31,1.15
CAF-2019-0052,36.3706,-118.9355,2019-07-08 13:00:00,Santa Barbara Ventura,7.33,62.4,21885.1,35.8,18.1,33.1,0.03,8.97,1.17
CAF-2020-0053,41.4909,-121.0959,2020-07-25 08:00:00,Shasta Cascade,4.54,21.2,9382.1,32.9,5.0,23.7,0.38,7.87,3.24
CAF-2023-0054,33.6422,-117.1124,2023-10-13 10:00:00,Southern California,3.16,23.4,2469.3,39.7,5.0,25.2,0.2,7.03,3.01
CAF-2022-0055,33.4458,-117.0417,2022-12-08 15:00:00,Southern California,2.86,11.3,2163.2,23.4,58.0,33.3,1.57,1.49,0.0
CAF-2020-0056,34.4925,-119.7253,2020-03-05 07:00:00,Southern California,2.86,2.7,4383.2,25.2,51.8,28.4,7.78,3.53,0.0
CAF-2019-0057,33.3788,-116.7503,2019-04-25 12:00:00,Southern California,2.74,17.1,2330.5,14.8,38.6,16.7,0.03,2.83,0.0
CAF-2023-0058,41.4664,-121.5783,2023-05-04 14:00:00,Shasta Cascade,1.27,9.6,291.2,22.6,61.7,19.0,2.0,2.88,0.0
CAF-2023-0059,40.5141,-121.7661,2023-10-01 19:00:00,Northern Sierra Nevada,1.74,7.2,1829.1,37.6,20.9,32.8,0.37,6.78,0.0
CAF-2023-0060,33.9814,-116.4525,2023-12-09 15:00:00,Inland Empire,0.98,7.8,465.5,12.5,50.1,2.3,4.45,2.4,0.0
CAF-2023-0061,36.8033,-122.2434,2023-10-25 15:00:00,Northern Sierra Nevada,2.28,23.6,2643.6,38.1,5.0,15.5,0.14,7.42,2.87
CAF-2019-0062,35.367,-119.2909,2019-04-03 18:00:00,Santa Barbara Ventura,2.69,13.6,2930.0,18.3,60.6,28.7,1.31,0.84,0.0
CAF-2019-0063,36.0077,-118.852,2019-07-14 18:00:00,Southern California,1.35,2.7,693.8,31.4,13.4,21.3,0.22,9.02,1.54
CAF-2023-0064,42.0,-120.8433,2023-08-22 08:00:00,Shasta Cascade,9.13,72.6,49374.7,42.2,17.4,45.5,0.02,7.42,1.31
CAF-2022-0065,33.2717,-119.3128,2022-04-18 19:00:00,Southern California,3.38,36.7,5685.1,22.3,48.8,6.0,0.37,1.55,0.0
CAF-2018-0066,39.3567,-118.6939,2018-09-06 18:00:00,Northern Sierra Nevada,1.17,11.3,275.8,40.7,5.2,14.9,0.56,8.49,2.96
CAF-2020-0067,39.5623,-122.0026,2020-06-13 15:00:00,Northern Sierra Nevada,1.67,15.9,679.4,29.4,18.4,23.4,0.05,7.43,0.28
CAF-2023-0068,39.7529,-118.8398,2023-09-05 09:00:00,Central Valley Foothills,1.17,1.0,261.1,44.0,7.4,29.2,0.06,7.43,2.54
CAF-2021-0069,40.71,-122.235,2021-01-07 06:00:00,Northern Sierra Nevada,0.79,14.6,147.6,27.2,59.8,11.0,0.39,4.42,0.0
CAF-2021-0070,39.9716,-121.3172,2021-08-08 13:00:00,Shasta Cascade,1.21,29.9,733.5,37.4,21.2,40.8,0.14,7.32,0.0
CAF-2021-0071,39.043,-121.367,2021-05-17 15:00:00,Northern Sierra Nevada,0.89,18.4,307.4,12.8,40.1,8.4,4.14,2.17,0.0
CAF-2018-0072,41.6695,-121.8625,2018-11-06 06:00:00,Northern Sierra Nevada,1.03,15.0,466.7,16.0,42.3,10.1,10.64,6.97,0.0
CAF-2018-0073,33.306,-116.2023,2018-08-02 09:00:00,Inland Empire,0.1,27.3,5.8,50.0,13.7,39.4,0.04,4.86,0.84
CAF-2022-0074,41.3327,-121.5967,2022-10-07 16:00:00,Shasta Cascade,3.06,8.9,4214.7,37.5,27.4,55.9,0.42,6.21,0.0
CAF-2023-0075,40.4589,-118.6738,2023-09-01 15:00:00,Shasta Cascade,5.17,37.1,13855.7,36.7,12.3,35.3,0.08,8.71,2.17
CAF-2022-0076,35.9019,-116.9029,2022-09-01 19:00:00,Inland Empire,4.25,47.5,9382.4,42.2,12.0,50.6,0.5,4.95,1.66
CAF-2019-0077,34.8033,-119.2175,2019-08-26 17:00:00,Santa Barbara Ventura,1.98,22.9,944.0,39.2,11.4,33.4,0.01,6.54,1.68
CAF-2021-0078,33.4678,-119.6997,2021-09-16 14:00:00,Southern California,2.51,1.8,3264.3,39.4,15.8,17.8,0.67,7.73,0.83
CAF-2019-0079,36.5469,-119.2368,2019-09-10 19:00:00,Central Valley Foothills,7.03,64.6,24698.4,34.9,29.7,28.5,0.02,8.11,0.0
CAF-2019-0080,33.5044,-117.6448,2019-08-14 11:00:00,Southern California,0.91,14.0,170.3,37.1,12.9,33.1,0.39,8.52,1.69
CAF-2020-0081,33.5926,-115.5747,2020-05-17 06:00:00,Inland Empire,0.62,10.9,116.6,24.0,58.5,9.5,1.17,4.78,0.0
CAF-2023-0082,37.0518,-116.0169,2023-07-27 08:00:00,Southern California,6.02,45.6,10389.8,41.6,22.0,31.1,0.05,7.6,0.01
CAF-2023-0083,37.3899,-121.9646,2023-08-18 13:00:00,Bay Area Hills,3.73,34.7,2834.3,40.9,5.1,29.6,0.51,8.37,3.36
CAF-2023-0084,37.3374,-120.0993,2023-11-21 16:00:00,Central Valley Foothills,0.95,10.8,201.8,23.8,43.8,0.7,2.0,0.0,0.0
CAF-2021-0085,36.5892,-119.1317,2021-05-25 07:00:00,Central Valley Foothills,2.63,5.2,2871.5,26.6,39.2,33.9,4.65,2.96,0.0
CAF-2021-0086,37.7795,-119.7492,2021-08-03 14:00:00,Central Valley Foothills,4.15,53.6,4891.3,40.1,9.7,19.0,1.11,6.84,1.99
CAF-2019-0087,39.8867,-120.4615,2019-06-19 09:00:00,Northern Sierra Nevada,4.14,44.3,3205.6,45.2,9.2,46.9,0.06,9.6,3.08
CAF-2022-0088,33.272,-117.5399,2022-06-15 06:00:00,Inland Empire,5.72,61.0,17659.3,35.0,5.0,47.5,0.68,7.02,3.52
CAF-2018-0089,33.2335,-118.8372,2018-07-07 19:00:00,Southern California,3.01,55.0,3384.9,41.3,5.0,51.1,0.04,8.76,3.74
CAF-2022-0090,41.7558,-121.6856,2022-05-03 08:00:00,Northern Sierra Nevada,2.11,1.0,901.6,11.4,55.4,12.5,0.46,2.01,0.0
CAF-2018-0091,32.5,-119.9754,2018-07-15 09:00:00,Southern California,3.34,24.3,3991.6,43.4,13.0,49.3,0.3,7.98,1.97
CAF-2022-0092,33.3969,-116.6247,2022-08-15 08:00:00,Southern California,2.78,34.6,2370.6,34.1,14.6,46.5,0.06,4.88,0.95
CAF-2019-0093,40.7619,-121.7662,2019-12-10 10:00:00,Shasta Cascade,1.39,15.3,307.1,17.2,47.6,19.9,2.11,1.54,0.0
CAF-2019-0094,32.5497,-115.6013,2019-06-22 17:00:00,San Diego County,1.2,13.5,867.8,49.9,8.9,21.3,1.03,7.73,2.18
CAF-2023-0095,32.5,-117.1576,2023-08-23 14:00:00,Inland Empire,3.95,39.3,8957.4,29.5,16.8,20.4,0.05,7.38,0.69
CAF-2018-0096,33.6055,-119.8744,2018-05-11 17:00:00,Santa Barbara Ventura,0.54,12.8,161.2,21.7,50.4,32.8,0.37,1.45,0.0
CAF-2021-0097,40.1915,-123.0762,2021-07-05 16:00:00,Shasta Cascade,2.32,40.6,3210.1,31.3,5.0,15.5,0.01,3.92,2.18
CAF-2020-0098,39.9142,-122.7256,2020-11-11 19:00:00,Northern Sierra Nevada,2.13,22.6,1798.7,20.3,52.5,18.2,2.32,1.06,0.0
CAF-2023-0099,40.1449,-119.3236,2023-06-11 07:00:00,Northern Sierra Nevada,4.32,57.7,7837.3,39.7,5.0,49.9,1.18,7.5,3.56
CAF-2018-0100,41.7824,-118.8718,2018-09-27 08:00:00,Northern Sierra Nevada,0.6,22.5,78.7,33.6,18.6,43.6,0.78,7.51,0.5
CAF-2021-0101,33.9265,-116.7525,2021-11-08 06:00:00,Inland Empire,0.24,14.7,32.8,23.2,48.2,14.9,1.2,2.92,0.0
CAF-2021-0102,35.0166,-116.9068,2021-11-18 14:00:00,Southern California,2.51,45.1,1434.0,18.1,67.1,16.2,3.86,5.65,0.0
CAF-2020-0103,34.307,-116.8279,2020-06-27 17:00:00,Inland Empire,1.9,6.5,812.1,27.0,14.3,44.6,0.5,8.84,1.73
CAF-2018-0104,35.2504,-118.1798,2018-10-15 12:00:00,Southern California,1.2,7.6,311.7,36.7,20.5,32.4,0.46,6.42,0.0
CAF-2019-0105,32.5,-119.0146,2019-07-06 17:00:00,Southern California,2.06,34.8,1768.1,35.8,12.3,40.4,0.76,9.22,2.14
CAF-2018-0106,33.1036,-117.785,2018-10-07 07:00:00,San Diego County,0.39,7.4,77.9,41.2,12.0,37.6,0.75,4.86,1.18
CAF-2023-0107,34.3101,-119.6769,2023-07-01 17:00:00,Santa Barbara Ventura,2.11,1.2,1081.7,34.7,17.6,25.5,0.25,7.29,0.48
CAF-2023-0108,34.7113,-118.6,2023-05-06 17:00:00,Santa Barbara Ventura,0.52,11.5,121.3,24.2,54.6,25.9,4.86,2.54,0.0
CAF-2021-0109,34.7085,-118.8609,2021-07-15 06:00:00,Santa Barbara Ventura,2.17,33.1,2774.4,36.2,22.3,28.3,0.63,5.58,0.0
CAF-2021-0110,41.692,-123.503,2021-09-11 12:00:00,Shasta Cascade,0.51,12.8,120.5,33.1,14.7,37.2,0.23,8.45,1.36
CAF-2023-0111,35.7871,-115.4387,2023-10-24 10:00:00,Inland Empire,4.36,34.7,6583.5,50.0,18.8,29.8,0.07,8.17,0.62
CAF-2021-0112,38.9856,-122.6704,2021-10-06 08:00:00,Northern Sierra Nevada,6.5,75.7,14211.9,38.0,5.0,52.3,0.01,9.07,4.05
CAF-2018-0113,35.0901,-117.7687,2018-09-05 13:00:00,Southern California,4.63,60.8,10118.0,43.2,15.5,31.9,0.12,10.0,1.7
CAF-2023-0114,40.2742,-123.4778,2023-08-19 07:00:00,Shasta Cascade,1.48,15.4,1202.4,32.6,16.2,11.5,0.12,9.53,0.95
CAF-2020-0115,41.135,-121.0283,2020-06-07 09:00:00,Northern Sierra Nevada,0.85,14.2,312.6,42.4,5.0,30.9,0.34,5.47,2.63
CAF-2018-0116,39.6597,-124.1767,2018-05-09 17:00:00,Shasta Cascade,1.04,8.3,650.0,18.9,58.5,2.7,3.75,1.78,0.0
CAF-2018-0117,37.9625,-122.3685,2018-12-21 07:00:00,Northern Sierra Nevada,1.07,11.4,633.9,21.2,51.3,31.1,3.99,2.47,0.0
CAF-2018-0118,34.9877,-118.4283,2018-05-04 09:00:00,Southern California,2.28,36.1,3128.3,26.8,51.5,16.6,2.46,3.62,0.0
CAF-2018-0119,36.3117,-120.0888,2018-07-24 09:00:00,Central Valley Foothills,0.31,28.6,43.4,41.6,7.4,25.8,0.82,4.5,1.85
CAF-2021-0120,35.7764,-119.8666,2021-09-14 07:00:00,Santa Barbara Ventura,1.04,8.1,630.2,31.5,16.6,44.5,1.06,8.01,1.04
CAF-2021-0121,32.9697,-116.1823,2021-06-15 16:00:00,San Diego County,4.67,57.0,6535.9,34.2,15.8,42.2,0.15,7.46,1.3
CAF-2019-0122,33.6287,-120.0181,2019-08-04 18:00:00,Southern California,3.83,42.8,4451.1,40.8,17.3,32.7,0.02,7.83,0.86
CAF-2018-0123,33.9707,-117.0466,2018-08-20 12:00:00,Southern California,4.6,46.9,11851.4,34.9,28.5,37.3,0.33,8.67,0.0
CAF-2020-0124,34.1344,-117.6225,2020-06-27 08:00:00,Inland Empire,2.18,27.8,2779.0,41.4,11.5,45.3,0.82,7.18,1.97
CAF-2021-0125,34.9904,-118.5749,2021-07-20 13:00:00,Santa Barbara Ventura,2.31,1.0,2484.9,38.8,7.0,25.2,0.21,6.89,2.53
CAF-2021-0126,40.9088,-121.8062,2021-10-17 19:00:00,Shasta Cascade,3.33,45.3,2221.6,36.4,19.4,46.0,0.07,9.65,0.97
CAF-2018-0127,34.509,-117.3461,2018-09-08 17:00:00,Inland Empire,0.15,2.2,7.9,38.8,9.9,34.5,0.11,8.02,2.16
CAF-2022-0128,33.2945,-117.4493,2022-01-26 11:00:00,Southern California,2.97,1.0,3990.3,15.9,44.2,5.1,11.0,4.09,0.0
CAF-2018-0129,34.1709,-119.8612,2018-12-14 11:00:00,Santa Barbara Ventura,0.41,11.0,65.5,24.6,59.8,15.6,5.75,1.53,0.0
CAF-2019-0130,38.5554,-122.0332,2019-06-08 07:00:00,Bay Area Hills,4.11,27.8,6011.8,43.9,11.1,61.6,0.01,8.55,2.71
CAF-2018-0131,37.55,-120.516,2018-04-23 10:00:00,Central Valley Foothills,1.88,25.8,880.9,25.7,70.5,2.5,1.95,4.71,0.0
CAF-2019-0132,34.149,-118.705,2019-05-12 12:00:00,Inland Empire,2.47,14.8,2152.3,24.6,50.5,14.4,0.97,2.71,0.0
CAF-2019-0133,33.5511,-117.4051,2019-07-09 07:00:00,Southern California,4.04,34.4,4649.0,36.3,5.0,38.1,1.03,5.73,3.0
CAF-2023-0134,37.906,-121.7146,2023-05-12 11:00:00,Bay Area Hills,2.94,1.0,3613.1,21.8,61.7,8.3,0.71,3.33,0.0
CAF-2020-0135,32.5,-119.6138,2020-09-26 13:00:00,Southern California,1.49,1.0,370.9,40.2,17.9,35.8,0.08,9.75,1.02
CAF-2020-0136,40.3734,-118.9743,2020-06-03 18:00:00,Northern Sierra Nevada,2.33,34.4,2815.6,45.8,14.5,45.2,0.27,7.39,1.42
CAF-2020-0137,38.3623,-121.3079,2020-07-21 08:00:00,Bay Area Hills,0.38,6.1,58.4,34.9,15.7,0.1,0.12,6.55,0.19
CAF-2020-0138,34.5681,-115.7456,2020-06-09 11:00:00,Inland Empire,5.32,62.6,11283.2,43.5,5.0,45.5,0.05,8.55,3.76
CAF-2021-0139,36.5999,-119.9552,2021-01-17 09:00:00,Central Valley Foothills,1.32,6.5,280.5,24.0,49.6,2.3,1.78,2.56,0.0
CAF-2022-0140,33.147,-117.4283,2022-05-14 16:00:00,San Diego County,0.15,13.4,12.8,27.9,46.8,26.6,5.48,3.54,0.0
CAF-2019-0141,39.6757,-118.9361,2019-04-13 15:00:00,Shasta Cascade,3.98,55.5,9479.7,23.5,49.7,12.4,2.17,5.17,0.0
CAF-2019-0142,39.3685,-122.3669,2019-09-27 07:00:00,Shasta Cascade,3.4,24.5,2808.2,42.4,10.8,40.8,0.21,6.94,2.08
CAF-2019-0143,42.0,-122.0944,2019-06-17 06:00:00,Shasta Cascade,2.35,54.5,1376.5,48.0,8.3,35.1,0.15,6.81,2.41
CAF-2021-0144,35.6628,-117.7065,2021-01-26 09:00:00,Southern California,4.75,45.5,11167.8,26.2,46.3,16.1,3.17,4.77,0.0
CAF-2023-0145,34.622,-119.6266,2023-08-02 17:00:00,Santa Barbara Ventura,1.63,28.3,1525.7,42.2,14.6,43.8,0.02,6.02,1.06
CAF-2023-0146,39.0109,-119.0324,2023-12-02 11:00:00,Northern Sierra Nevada,0.64,7.6,184.1,18.0,51.2,3.1,0.65,5.26,0.0
CAF-2020-0147,40.8004,-121.1369,2020-07-27 19:00:00,Shasta Cascade,4.73,70.8,4080.1,33.9,15.5,46.8,0.24,7.76,1.48
CAF-2020-0148,41.3646,-120.3575,2020-12-20 10:00:00,Shasta Cascade,2.83,25.4,2385.5,24.1,47.2,14.6,2.5,3.56,0.0
CAF-2019-0149,40.7671,-119.4686,2019-04-06 13:00:00,Northern Sierra Nevada,4.34,13.3,5329.8,15.5,63.1,12.6,3.12,4.69,0.0
CAF-2020-0150,33.5219,-117.6322,2020-08-23 14:00:00,San Diego County,2.6,13.9,1152.0,38.3,5.0,30.1,0.42,10.0,3.64
CAF-2020-0151,38.0539,-121.409,2020-08-10 18:00:00,Bay Area Hills,2.97,2.9,4435.0,32.0,5.0,25.8,0.27,4.5,2.49
CAF-2021-0152,39.1128,-122.1353,2021-10-16 19:00:00,Northern Sierra Nevada,0.55,17.2,137.2,42.6,13.6,23.7,0.1,6.07,0.9
CAF-2023-0153,42.0,-124.5,2023-08-04 14:00:00,Northern Sierra Nevada,0.81,2.1,110.2,37.7,6.3,24.4,0.36,5.29,2.23
CAF-2022-0154,32.5,-116.8972,2022-12-15 17:00:00,Inland Empire,0.7,16.9,189.6,12.6,57.6,25.1,1.69,3.76,0.0
CAF-2021-0155,33.1627,-116.2723,2021-04-23 07:00:00,San Diego County,4.04,9.9,5344.7,12.3,56.3,26.1,17.08,3.48,0.0
CAF-2018-0156,34.4227,-118.2233,2018-06-02 06:00:00,Southern California,4.41,42.8,10858.5,40.9,27.0,51.7,0.01,9.06,0.0
CAF-2020-0157,41.8399,-120.0571,2020-05-25 19:00:00,Shasta Cascade,1.01,6.7,228.8,16.1,42.4,10.1,2.77,3.54,0.0
CAF-2019-0158,32.5,-117.1204,2019-11-01 16:00:00,San Diego County,0.1,18.2,4.4,20.6,44.2,16.8,2.47,0.0,0.0
CAF-2018-0159,37.9845,-117.9691,2018-07-24 08:00:00,Central Valley Foothills,1.45,4.3,399.3,37.8,13.5,43.5,0.17,8.23,1.7
CAF-2020-0160,37.8943,-119.3234,2020-04-19 12:00:00,Central Valley Foothills,2.64,31.0,1136.2,18.6,45.2,3.3,1.74,1.72,0.0
CAF-2019-0161,35.1919,-116.6205,2019-05-11 12:00:00,Inland Empire,1.16,4.2,530.4,24.5,38.2,24.6,2.44,2.54,0.0
CAF-2018-0162,34.3217,-116.9114,2018-07-03 18:00:00,Inland Empire,2.45,25.6,1960.6,44.0,5.0,11.5,0.03,7.44,2.83
CAF-2019-0163,37.8234,-122.3906,2019-10-26 19:00:00,Northern Sierra Nevada,1.53,18.5,1442.5,36.6,19.6,24.5,0.23,7.41,0.05
CAF-2019-0164,36.8991,-119.6571,2019-11-01 18:00:00,Southern California,1.97,27.3,959.7,20.4,62.0,48.9,13.22,3.07,0.0
CAF-2018-0165,40.0649,-121.7355,2018-10-03 11:00:00,Northern Sierra Nevada,6.38,59.8,15355.9,43.8,25.7,42.8,0.11,8.66,0.0
CAF-2023-0166,41.3638,-123.1582,2023-09-07 11:00:00,Shasta Cascade,3.1,35.2,5861.9,37.4,18.4,55.8,0.2,6.57,0.69
CAF-2020-0167,35.9298,-117.3063,2020-10-24 17:00:00,Southern California,3.76,40.7,7321.9,34.5,27.3,45.4,0.23,8.79,0.0
CAF-2021-0168,35.7871,-118.419,2021-07-14 06:00:00,Central Valley Foothills,0.32,9.6,18.9,38.2,20.2,42.9,0.34,10.0,0.65
CAF-2021-0169,34.9396,-119.5122,2021-08-07 10:00:00,Santa Barbara Ventura,0.7,9.4,266.9,41.5,21.5,32.2,1.07,6.08,0.0
CAF-2021-0170,36.8867,-119.0989,2021-09-26 06:00:00,Central Valley Foothills,3.79,38.6,8238.5,28.6,18.9,50.6,0.07,9.06,1.05
CAF-2020-0171,38.0414,-122.3694,2020-05-12 12:00:00,Northern Sierra Nevada,0.73,23.8,295.9,18.5,54.3,1.7,0.65,4.6,0.0
CAF-2021-0172,32.5,-116.4978,2021-09-19 09:00:00,San Diego County,3.29,33.5,6329.4,39.0,5.0,30.3,0.68,7.08,3.1
CAF-2020-0173,33.1677,-117.7167,2020-06-05 08:00:00,Southern California,0.48,6.5,136.2,31.5,15.0,36.3,0.13,9.59,1.51
CAF-2018-0174,37.8527,-122.183,2018-07-03 13:00:00,Bay Area Hills,3.75,29.8,3238.3,36.0,17.2,23.1,0.14,7.02,0.57
CAF-2021-0175,37.1914,-122.018,2021-07-06 14:00:00,Shasta Cascade,3.89,26.4,8679.0,44.8,12.3,46.6,0.2,6.77,1.87
